Constituency_No,Position,Candidate,Sex,Party,Votes,Age,Valid_Votes,Electors,Constituency_Name,Constituency_Type,District_Name,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_ID,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,Education_Qualification,Main_Profession,Main_Profession_Desc,Second_Profession,Second_Profession_Desc,Result,Invalid_Votes
2,2,BALARAMAN. P,M,ADMK,84839,59.0,210354,268994,PONNERI,SC,TIRUVALLUR,CHENNAI CITY REGION,10,78.2,40.33,no,65812,31.29,2.7,AETN186802,930,2.0,ADMK,930.0,PONNERI,True,True,1.0,False,True,True,Post Graduate,Agriculture,,,,Lost,58640
2,5,PON. RAJA,M,AMMK,2832,45.0,210354,268994,PONNERI,SC,TIRUVALLUR,CHENNAI CITY REGION,10,78.2,1.35,yes,1278,0.61,2.7,AETN190555,24338,2.0,ADMK,930.0,PONNERI,True,False,1.0,True,False,False,Graduate Professional,Business,,,,Lost,58640
3,2,G.Hari,M,ADMK,91061,60.0,232624,295358,TIRUTTANI,GEN,TIRUVALLUR,CHENNAI CITY REGION,14,78.76,39.15,no,79054,33.98,2.38,AETN198785,930,3.0,ADMK,930.0,TIRUTTANI,True,True,1.0,False,False,False,Post Graduate,Liberal Profession or Professional,Lawyer,,,Lost,62734
3,12,Shettu,M,IND,147,47.0,232624,295358,TIRUTTANI,GEN,TIRUVALLUR,CHENNAI CITY REGION,14,78.76,0.06,yes,26,0.01,2.38,AETN190577,10809,2.0,IND,10809.0,TIRUTTANI,True,True,0.0,False,False,False,Graduate,Agriculture,,,,Lost,62734
4,1,"RAAJENDRAN, V.G.",M,DMK,107709,53.0,214243,277516,THIRUVALLUR,GEN,TIRUVALLUR,CHENNAI CITY REGION,11,77.2,50.27,no,22701,10.6,2.44,AETN186831,10192,2.0,DMK,10192.0,THIRUVALLUR,True,True,2.0,False,True,True,,,,,,Won,63273
4,4,"DOSS, D.",M,BSP,2329,50.0,214243,277516,THIRUVALLUR,GEN,TIRUVALLUR,CHENNAI CITY REGION,11,77.2,1.09,yes,457,0.21,2.44,GETN10622,16651,2.0,BSP,16651.0,TIRUTTANI,False,True,0.0,False,False,False,10th Pass,Business,,,,Lost,63273
4,9,"BALA KRISHNAN, N.",M,IND,232,44.0,214243,277516,THIRUVALLUR,GEN,TIRUVALLUR,CHENNAI CITY REGION,11,77.2,0.11,yes,99,0.05,2.44,AETN186840,10809,2.0,IND,10809.0,THIRUVALLUR,True,True,0.0,False,False,True,8th Pass,Business,,,,Lost,63273
5,1,Krishnaswamy A,M,DMK,149578,55.0,263736,361331,POONAMALLEE,SC,TIRUVALLUR,CHENNAI CITY REGION,14,72.99,56.72,no,94110,35.68,2.7,GETN6025,10192,2.0,DMK,10192.0,POONAMALLEE,True,True,2.0,False,True,True,Graduate Professional,Liberal Profession or Professional,Lawyer,,,Won,97595
5,2,Rajamannar S X,M,PMK,55468,63.0,263736,361331,POONAMALLEE,SC,TIRUVALLUR,CHENNAI CITY REGION,14,72.99,21.03,no,25597,9.71,2.7,AETN204500,11891,3.0,DMK,10192.0,POTTAPIDARAM,False,False,1.0,True,False,False,Graduate Professional,Liberal Profession or Professional,Lawyer,,,Lost,97595
5,5,Elumalai T.A.,M,AMMK,8805,54.0,263736,361331,POONAMALLEE,SC,TIRUVALLUR,CHENNAI CITY REGION,14,72.99,3.34,yes,5914,2.24,2.7,AETN186852,24338,3.0,IND,10809.0,POONAMALLEE,True,False,1.0,False,False,True,Graduate Professional,Business,,,,Lost,97595
5,10,Velu S,M,IND,359,44.0,263736,361331,POONAMALLEE,SC,TIRUVALLUR,CHENNAI CITY REGION,14,72.99,0.14,yes,69,0.03,2.7,AETN276539,10809,2.0,IND,10809.0,POONAMALLEE,True,True,0.0,False,False,True,Graduate,Business,,,,Lost,97595
5,15,Dhasarathan R,M,IND,173,53.0,263736,361331,POONAMALLEE,SC,TIRUVALLUR,CHENNAI CITY REGION,14,72.99,0.07,yes,0,0.0,2.7,AETN276542,10809,2.0,IND,10809.0,POONAMALLEE,True,True,0.0,False,False,True,5th Pass,Agriculture,,,,Lost,97595
6,1,Nasar S M,M,DMK,150287,61.0,300927,446678,AVADI,GEN,TIRUVALLUR,CHENNAI CITY REGION,20,67.37,49.94,no,55275,18.37,2.78,AETN186867,10192,2.0,DMK,10192.0,AVADI,True,True,1.0,False,False,True,10th Pass,Business,,,,Won,145751
