Unnamed: 0,Constituency_No,Position,Candidate,Sex,Party,Votes,Age,Valid_Votes,Electors,Constituency_Name,Constituency_Type,District_Name,Sub_Region,No_of_Candidates,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_ID,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,Education_Qualification,Main_Profession,Main_Profession_Desc,Second_Profession,Second_Profession_Desc,Result,Non_Voters,Non_Voters_Percentage,Non_Voters_Percentage_1,Invalid_Votes_percentage,No_Terms_lost,Alliance,Current_Status
0,1,1,GOVINDARAJAN T.J,M,DMK,126452,60.0,222069,284412,GUMMIDIPUNDI,GEN,TIRUVALLUR,CHENNAI CITY REGION,13,78.08,56.94,no,50938,22.94,2.27,AETN272719,10192,1.0,,,,,,1.0,False,False,False,10th Pass,Business,,,,Won,62343,21.92,21.919961183072445,0.0038816927556695,0.0,SPA,Position gained
13,2,1,DURAI. CHANDRASEKAR,M,INC,94528,48.0,210354,268994,PONNERI,SC,TIRUVALLUR,CHENNAI CITY REGION,11,78.2,44.94,no,9689,4.61,2.7,AETN272731,3482,1.0,,,,,,1.0,False,False,False,Graduate Professional,Liberal Profession or Professional,Lawyer,,,Won,58640,21.8,21.79974274519134,0.025725480865546,0.0,SPA,Position gained
24,3,1,S.Chandran,M,DMK,120314,57.0,232624,295358,TIRUTTANI,GEN,TIRUVALLUR,CHENNAI CITY REGION,15,78.76,51.72,no,29253,12.58,2.38,AETN272739,10192,1.0,,,,,,1.0,False,False,False,Graduate Professional,Business,,,,Won,62734,21.239999999999995,21.2399867279708,0.0013272029192989,0.0,SPA,Position gained
39,4,1,"RAAJENDRAN, V.G.",M,DMK,107709,53.0,214243,277516,THIRUVALLUR,GEN,TIRUVALLUR,CHENNAI CITY REGION,12,77.2,50.27,no,22701,10.6,2.44,AETN186831,10192,2.0,DMK,10192.0,THIRUVALLUR,True,True,2.0,False,True,True,,,,,,Won,63273,22.8,22.799766499949552,0.0233500050445201,0.0,SPA,Consecutive win
51,5,1,Krishnaswamy A,M,DMK,149578,55.0,263736,361331,POONAMALLEE,SC,TIRUVALLUR,CHENNAI CITY REGION,15,72.99,56.72,no,94110,35.68,2.7,GETN6025,10192,2.0,DMK,10192.0,POONAMALLEE,True,True,2.0,False,True,True,Graduate Professional,Liberal Profession or Professional,Lawyer,,,Won,97595,27.010000000000005,27.00986076478354,0.0139235216465749,0.0,SPA,Consecutive win
66,6,1,Nasar S M,M,DMK,150287,61.0,300927,446678,AVADI,GEN,TIRUVALLUR,CHENNAI CITY REGION,21,67.37,49.94,no,55275,18.37,2.78,AETN186867,10192,2.0,DMK,10192.0,AVADI,True,True,1.0,False,False,True,10th Pass,Business,,,,Won,145751,32.629999999999995,32.62999297032762,0.0007029672374869,1.0,SPA,Position gained
87,7,1,GANAPATHY.K,M,DMK,121298,61.0,273870,454179,MADURAVOYAL,GEN,TIRUVALLUR,CHENNAI CITY REGION,21,60.3,44.29,no,31721,11.58,3.03,AETN272785,10192,1.0,,,,,,1.0,False,False,False,8th Pass,Business,Real Estate or Builder or Developer or Construction,,,Won,180309,39.7,39.69998612881705,0.0013871182950708,0.0,SPA,Position gained
108,8,1,JOSEPH SAMUEL,M,DMK,114554,58.0,240299,387516,AMBATTUR,GEN,TIRUVALLUR,CHENNAI CITY REGION,24,62.01,47.67,no,42146,17.54,2.94,AETN272804,10192,1.0,,,,,,1.0,False,False,False,Graduate,Other,,,,Won,147217,37.99,37.989915255112045,0.0084744887956844,0.0,SPA,Position gained
132,9,1,SUDHARSANAM. S,M,DMK,151485,62.0,302700,456079,MADAVARAM,GEN,TIRUVALLUR,CHENNAI CITY REGION,21,66.37,50.04,no,57071,18.85,2.78,AETN186928,10192,2.0,DMK,10192.0,MADAVARAM,True,True,2.0,False,True,True,Post Graduate,Liberal Profession or Professional,Lawyer,Agriculture,,Won,153379,33.629999999999995,33.62991937800249,0.0080621997504692,0.0,SPA,Consecutive win
153,10,1,K.P.SHANKAR,M,DMK,88185,47.0,199996,306977,THIRUVOTTIYUR,GEN,TIRUVALLUR,CHENNAI CITY REGION,21,65.15,44.09,no,37661,18.83,3.23,AETN272837,10192,1.0,,,,,,1.0,False,False,False,8th Pass,Business,,Social Work,,Won,106981,34.849999999999994,34.84984217058607,0.0157829413922172,0.0,SPA,Position gained
174,11,1,EBENEZER. J.J. (@)  JOHN EBENEZER.J,M,DMK,95763,45.0,187027,263492,DR. RADHAKRISHNAN NAGAR,GEN,CHENNAI,CHENNAI CITY REGION,32,70.98,51.2,no,42479,22.71,2.86,AETN272854,10192,1.0,,,,,,1.0,False,False,False,Post Graduate,Other,,,,Won,76465,29.02,29.019856390326844,0.0143609673152411,0.0,SPA,Position gained
