,Constituency_No,Position,Candidate,Sex,Party,Votes,Age,Valid_Votes,Electors,Constituency_Name,Constituency_Type,District_Name,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_ID,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,Education_Qualification,Main_Profession,Main_Profession_Desc,Second_Profession,Second_Profession_Desc,Result
0,1,1,GOVINDARAJAN T.J,M,DMK,126452,60.0,222069,284412,GUMMIDIPUNDI,GEN,TIRUVALLUR,CHENNAI CITY REGION,12,78.08,56.94,no,50938,22.94,2.27,AETN272719,10192,1.0,,,,,,1.0,False,False,False,10th Pass,Business,,,,Won
1,1,2,PRAKASH M,M,PMK,75514,50.0,222069,284412,GUMMIDIPUNDI,GEN,TIRUVALLUR,CHENNAI CITY REGION,12,78.08,34.0,no,63813,28.74,2.27,AETN272725,11891,1.0,,,,,,0.0,False,False,False,10th Pass,Salaried Work or Employed,Qualified Professional,,,Lost
2,1,3,USHA,F,NTK,11701,31.0,222069,284412,GUMMIDIPUNDI,GEN,TIRUVALLUR,CHENNAI CITY REGION,12,78.08,5.27,yes,9125,4.11,2.27,AETN272722,5533,1.0,,,,,,0.0,False,False,False,8th Pass,Agriculture,,,,Lost
3,1,4,DILLIY K.M,M,DMDK,2576,45.0,222069,284412,GUMMIDIPUNDI,GEN,TIRUVALLUR,CHENNAI CITY REGION,12,78.08,1.16,yes,793,0.36,2.27,AETN272720,2956,1.0,,,,,,0.0,False,False,False,8th Pass,Other,,,,Lost
4,1,5,None Of The Above,,NOTA,1783,,222069,284412,GUMMIDIPUNDI,GEN,TIRUVALLUR,CHENNAI CITY REGION,12,78.08,0.8,,745,0.34,2.27,,5897,,,,,,,,,,,,,,,,
5,1,6,NAGARAJ S,M,BSP,1038,28.0,222069,284412,GUMMIDIPUNDI,GEN,TIRUVALLUR,CHENNAI CITY REGION,12,78.08,0.47,yes,222,0.1,2.27,AETN272721,16651,1.0,,,,,,0.0,False,False,False,Graduate Professional,Other,,,,Lost
6,1,7,SARAVANAN V,M,IJK,816,33.0,222069,284412,GUMMIDIPUNDI,GEN,TIRUVALLUR,CHENNAI CITY REGION,12,78.08,0.37,yes,284,0.13,2.27,AETN272724,3969,1.0,,,,,,0.0,False,False,False,Others,Business,,,,Lost
7,1,8,SARAVANAN E,M,IND,532,44.0,222069,284412,GUMMIDIPUNDI,GEN,TIRUVALLUR,CHENNAI CITY REGION,12,78.08,0.24,yes,50,0.02,2.27,AETN272726,10809,1.0,,,,,,0.0,False,False,False,10th Pass,Labourer or Daily Wage,,,,Lost
8,1,9,DEVANATHAN R,M,IND,482,26.0,222069,284412,GUMMIDIPUNDI,GEN,TIRUVALLUR,CHENNAI CITY REGION,12,78.08,0.22,yes,108,0.05,2.27,AETN272727,10809,1.0,,,,,,0.0,False,False,False,Graduate Professional,Other,,,,Lost
9,1,10,LAKSHMI R,F,IND,374,52.0,222069,284412,GUMMIDIPUNDI,GEN,TIRUVALLUR,CHENNAI CITY REGION,12,78.08,0.17,yes,23,0.01,2.27,AETN272730,10809,1.0,,,,,,0.0,False,False,False,10th Pass,Business,,,,Lost
10,1,11,PRAKASH K,M,IND,351,49.0,222069,284412,GUMMIDIPUNDI,GEN,TIRUVALLUR,CHENNAI CITY REGION,12,78.08,0.16,yes,97,0.04,2.27,AETN272728,10809,1.0,,,,,,0.0,False,False,False,Graduate,Business,,,,Lost
11,1,12,GOWTHAM J,M,Anaithu Makkal Arasiyal Katchi,254,26.0,222069,284412,GUMMIDIPUNDI,GEN,TIRUVALLUR,CHENNAI CITY REGION,12,78.08,0.11,yes,58,0.03,2.27,AETN272723,24293,1.0,,,,,,0.0,False,False,False,Graduate Professional,Other,,,,Lost
12,1,13,PRAKASH M,M,IND,196,52.0,222069,284412,GUMMIDIPUNDI,GEN,TIRUVALLUR,CHENNAI CITY REGION,12,78.08,0.09,yes,0,0.0,2.27,AETN272729,10809,1.0,,,,,,0.0,False,False,False,Graduate,Agriculture,,,,Lost
13,2,1,DURAI. CHANDRASEKAR,M,INC,94528,48.0,210354,268994,PONNERI,SC,TIRUVALLUR,CHENNAI CITY REGION,10,78.2,44.94,no,9689,4.61,2.7,AETN272731,3482,1.0,,,,,,1.0,False,False,False,Graduate Professional,Liberal Profession or Professional,Lawyer,,,Won
14,2,2,BALARAMAN. P,M,ADMK,84839,59.0,210354,268994,PONNERI,SC,TIRUVALLUR,CHENNAI CITY REGION,10,78.2,40.33,no,65812,31.29,2.7,AETN186802,930,2.0,ADMK,930.0,PONNERI,True,True,1.0,False,True,True,Post Graduate,Agriculture,,,,Lost
15,2,3,MAHESWARI. A,F,NTK,19027,35.0,210354,268994,PONNERI,SC,TIRUVALLUR,CHENNAI CITY REGION,10,78.2,9.05,yes,13633,6.48,2.7,AETN272734,5533,1.0,,,,,,0.0,False,False,False,,,,,,Lost
16,2,4,DESINGURAJAN. D,M,MNM,5394,52.0,210354,268994,PONNERI,SC,TIRUVALLUR,CHENNAI CITY REGION,10,78.2,2.56,yes,2562,1.22,2.7,AETN272733,24404,1.0,,,,,,0.0,False,False,False,12th Pass,Agriculture,,,,Lost
17,2,5,PON. RAJA,M,AMMK,2832,45.0,210354,268994,PONNERI,SC,TIRUVALLUR,CHENNAI CITY REGION,10,78.2,1.35,yes,1278,0.61,2.7,AETN190555,24338,2.0,ADMK,930.0,PONNERI,True,False,1.0,True,False,False,Graduate Professional,Business,,,,Lost
18,2,6,None Of The Above,,NOTA,1554,,210354,268994,PONNERI,SC,TIRUVALLUR,CHENNAI CITY REGION,10,78.2,0.74,,448,0.21,2.7,,5897,,,,,,,,,,,,,,,,
19,2,7,BHAVANI ILAVENIL. J,F,BSP,1106,31.0,210354,268994,PONNERI,SC,TIRUVALLUR,CHENNAI CITY REGION,10,78.2,0.53,yes,636,0.3,2.7,AETN272732,16651,1.0,,,,,,0.0,False,False,False,Graduate,Business,,,,Lost
20,2,8,ASHOK PRIYADARSHAN. S,M,IND,470,42.0,210354,268994,PONNERI,SC,TIRUVALLUR,CHENNAI CITY REGION,10,78.2,0.22,yes,172,0.08,2.7,AETN272736,10809,1.0,,,,,,0.0,False,False,False,Post Graduate,Education,School Teacher,Social Work,Activist,Lost
21,2,9,SUGUMAR. K,M,IND,298,40.0,210354,268994,PONNERI,SC,TIRUVALLUR,CHENNAI CITY REGION,10,78.2,0.14,yes,108,0.05,2.7,GETN10499,10809,1.0,,,,,,0.0,False,False,False,Graduate Professional,Liberal Profession or Professional,Lawyer,,,Lost
22,2,10,VIJAYAKUMAR. V,M,Anna MGR Dravida Makkal Kalgam,190,41.0,210354,268994,PONNERI,SC,TIRUVALLUR,CHENNAI CITY REGION,10,78.2,0.09,yes,74,0.04,2.7,AETN272735,24294,1.0,,,,,,0.0,False,False,False,10th Pass,Small Business or Self-employed,,,,Lost
23,2,11,SAMBATH KUMAR.C.H,M,IND,116,50.0,210354,268994,PONNERI,SC,TIRUVALLUR,CHENNAI CITY REGION,10,78.2,0.06,yes,0,0.0,2.7,AETN272737,10809,1.0,,,,,,0.0,False,False,False,8th Pass,Business,,,,Lost
24,3,1,S.Chandran,M,DMK,120314,57.0,232624,295358,TIRUTTANI,GEN,TIRUVALLUR,CHENNAI CITY REGION,14,78.76,51.72,no,29253,12.58,2.38,AETN272739,10192,1.0,,,,,,1.0,False,False,False,Graduate Professional,Business,,,,Won
25,3,2,G.Hari,M,ADMK,91061,60.0,232624,295358,TIRUTTANI,GEN,TIRUVALLUR,CHENNAI CITY REGION,14,78.76,39.15,no,79054,33.98,2.38,AETN198785,930,3.0,ADMK,930.0,TIRUTTANI,True,True,1.0,False,False,False,Post Graduate,Liberal Profession or Professional,Lawyer,,,Lost
26,3,3,L.AKILA,F,NTK,12007,31.0,232624,295358,TIRUTTANI,GEN,TIRUVALLUR,CHENNAI CITY REGION,14,78.76,5.16,yes,8079,3.47,2.38,AETN272741,5533,1.0,,,,,,0.0,False,False,False,8th Pass,Small Business or Self-employed,Shop Keeper,,,Lost
